Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
ABCA7	ABCX	ENSG00000064687	"ATP binding cassette subfamily A member 7"	Q8IZY2	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Phagocytosis, Transport"	Translocase	"Evidence at protein level"	"Tissue enhanced"		"Golgi apparatus, Plasma membrane"
ABCA8	KIAA0822	ENSG00000141338	"ATP binding cassette subfamily A member 8"	O94911	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Low tissue specificity"		Nucleoplasm
ABCA9	EST640918	ENSG00000154258	"ATP binding cassette subfamily A member 9"	Q8IUA7	"Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Low tissue specificity"		"Endoplasmic reticulum"
ABCB10	"EST20237, M-ABC2, MTABC2"	ENSG00000135776	"ATP binding cassette subfamily B member 10"	Q9NRK6	"Plasma proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Tissue enhanced"	8	
ABCB4	"GBD1, MDR2, MDR3, PFIC-3, PGY3"	ENSG00000005471	"ATP binding cassette subfamily B member 4"	P21439	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Tissue enriched"		"Nucleoplasm, Plasma membrane"
ABCB6	"EST45597, MTABC3, umat"	ENSG00000115657	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Low tissue specificity"		"Golgi apparatus"
ABCB7	"ABC7, ASAT, Atm1p, EST140535"	ENSG00000131269	"ATP binding cassette subfamily B member 7"	O75027	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport		"Evidence at protein level"	"Low tissue specificity"	8	Mitochondria
ABCB8	"EST328128, M-ABC1, MABC1, MITOSUR"	ENSG00000197150	"ATP binding cassette subfamily B member 8"	Q9NUT2	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	1	Mitochondria
ABCB9	EST122234	ENSG00000150967	"ATP binding cassette subfamily B member 9"	Q9NP78	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Peptide transport, Protein transport, Transport"	Translocase	"Evidence at protein level"	"Tissue enhanced"		Vesicles
ABCC1	"GS-X, MRP, MRP1"	ENSG00000103222	"ATP binding cassette subfamily C member 1"	P33527	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	"Hydrolase, Translocase"	"Evidence at protein level"	"Low tissue specificity"	13	"Plasma membrane"
ABCC10	"EST182763, MRP7, SIMRP7"	ENSG00000124574	"ATP binding cassette subfamily C member 10"	Q5T3U5	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Low tissue specificity"		
ABCC12	MRP9	ENSG00000140798	"ATP binding cassette subfamily C member 12"		"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at transcript level"	"Group enriched"	1	
ABCC2	"CMOAT, cMRP, DJS, MRP2"	ENSG00000023839	"ATP binding cassette subfamily C member 2"	Q92887	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Tissue enhanced"	15	
ABCC4	"EST170205, MOAT-B, MOATB, MRP4"	ENSG00000125257	"ATP binding cassette subfamily C member 4"	O15439	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Tissue enhanced"	7	"Plasma membrane"
ABCC5	"EST277145, MOAT-C, MRP5, SMRP"	ENSG00000114770	"ATP binding cassette subfamily C member 5"	O15440	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Low tissue specificity"	5	"Plasma membrane, Cell Junctions"
ABCC6	"ARA, EST349056, MLP1, MRP6, PXE, URG7"	ENSG00000091262	"ATP binding cassette subfamily C member 6"	O95255	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Sensory transduction, Transport, Vision"	Translocase	"Evidence at protein level"	"Tissue enhanced"	1	"Plasma membrane"
ABCC9	"CMD1O, SUR2"	ENSG00000069431	"ATP binding cassette subfamily C member 9"	O60706	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	Transport	Receptor	"Evidence at protein level"	"Low tissue specificity"		"Nucleoplasm, Plasma membrane"
ABCD1	"adrenoleukodystrophy, ALD, ALDP, AMN"	ENSG00000101986	"ATP binding cassette subfamily D member 1"	P33897	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"	"Evidence at protein level"	"Low tissue specificity"	9	
ABCD3	"PMP70, PXMP1, ZWS2"	ENSG00000117528	"ATP binding cassette subfamily D member 3"	P28288	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport	"Hydrolase, Translocase"	"Evidence at protein level"	"Tissue enhanced"	36	Peroxisomes
ABCD4	"EST352188, P70R, PMP69, PXMP1L"	ENSG00000119688	"ATP binding cassette subfamily D member 4"	O14678	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Evidence at protein level"	"Low tissue specificity"	3	
ABCE1	"OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I"	ENSG00000164163	"ATP binding cassette subfamily E member 1"	P61221	"Essential proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Translation regulation"	"Chaperone, Hydrolase"	"Evidence at protein level"	"Low tissue specificity"	75	Cytosol
ABCF1	"ABC50, EST123147"	ENSG00000204574	"ATP binding cassette subfamily F member 1"	Q8NE71	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"		Activator	"Evidence at protein level"	"Low tissue specificity"	13	Cytosol
ABCF2	"ABC28, EST133090, HUSSY-18, M-ABC1"	ENSG00000033050	"ATP binding cassette subfamily F member 2"	Q9UG63	"Predicted intracellular proteins, Transporters"			"Evidence at protein level"	"Low tissue specificity"	17	Cytosol
ABCF2-H2BK1	ABCF2-H2BE1	ENSG00000285292	"ABCF2-H2BK1 readthrough"		"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"		Cytosol
ABCF3	EST201864	ENSG00000161204	"ATP binding cassette subfamily F member 3"	Q9NUQ8	"Predicted intracellular proteins, Transporters"	"Antiviral defense"		"Evidence at protein level"	"Low tissue specificity"	4	Cytosol
ABCG1	ABC8	ENSG00000160179	"ATP binding cassette subfamily G member 1"	P45844	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Evidence at protein level"	"Low tissue specificity"	2	"Golgi apparatus, Vesicles"
ABHD1	"FLJ36128, LABH1"	ENSG00000143994	"Abhydrolase domain containing 1"	Q96SE0	"Predicted intracellular proteins, Predicted membrane proteins"		"Hydrolase, Serine esterase"	"Evidence at protein level"	"Tissue enriched"	1	
ABHD10	FLJ11342	ENSG00000144827	"Abhydrolase domain containing 10, depalmitoylase"	Q9NUJ1	"Enzymes, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"	25	Mitochondria
ABHD11	"PP1226, WBSCR21"	ENSG00000106077	"Abhydrolase domain containing 11"	Q8NFV4	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"		Mitochondria
ABHD12	"ABHD12A, BEM46L2, C20orf22, dJ965G21.2, DKFZP434P106"	ENSG00000100997	"Abhydrolase domain containing 12, lysophospholipase"	Q8N2K0	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase	"Evidence at protein level"	"Low tissue specificity"	10	
ABHD13	"bA153I24.2, BEM46L1, C13orf6, FLJ14906"	ENSG00000139826	"Abhydrolase domain containing 13"	Q7L211	"Predicted membrane proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"		Cytosol
ABHD14A	"DKFZP564O243, DORZ1"	ENSG00000248487	"Abhydrolase domain containing 14A"	Q9BUJ0	"Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"	15	Vesicles
ABHD14B	"CIB, MGC15429"	ENSG00000114779	"Abhydrolase domain containing 14B"	Q96IU4	"Plasma proteins, Predicted intracellular proteins"		"Acyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	2	"Nucleoplasm, Nucleoli"
ABHD15		ENSG00000168792	"Abhydrolase domain containing 15"	Q6UXT9	"Predicted secreted proteins"			"Evidence at protein level"	"Low tissue specificity"	13	"Nucleoplasm, Cytosol"
ABHD16A	"BAT5, D6S82E, NG26"	ENSG00000204427	"Abhydrolase domain containing 16A, phospholipase"	O95870	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase	"Evidence at protein level"	"Low tissue specificity"	54	
ABHD16B	"C20orf135, dJ591C20.1"	ENSG00000183260	"Abhydrolase domain containing 16B"	Q9H3Z7	"Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism, Phospholipid metabolism"	Hydrolase	"Evidence at protein level"	"Tissue enriched"		Nucleoplasm
ABHD17A	"C19orf27, FAM108A1, MGC5244"	ENSG00000129968	"Abhydrolase domain containing 17A, depalmitoylase"	Q96GS6	"Enzymes, Predicted intracellular proteins, Transporters"		Hydrolase	"Evidence at protein level"	"Tissue enhanced"	1	Vesicles
ABHD17B	"C9orf77, CGI-67, FAM108B1"	ENSG00000107362	"Abhydrolase domain containing 17B, depalmitoylase"	Q5VST6	"Enzymes, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"		
ABHD17C	FAM108C1	ENSG00000136379	"Abhydrolase domain containing 17C, depalmitoylase"	Q6PCB6	"Enzymes, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Tissue enhanced"	12	
ABHD18	"C4orf29, FLJ21106"	ENSG00000164074	"Abhydrolase domain containing 18"	Q0P651	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	4	"Nuclear membrane"
ABHD2	LABH2	ENSG00000140526	"Abhydrolase domain containing 2, acylglycerol lipase"	P08910	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid degradation, Lipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Tissue enhanced"		"Cytosol, Flagellar centriole"
ABHD3	LABH3	ENSG00000158201	"Abhydrolase domain containing 3, phospholipase"	Q8WU67	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism, Phospholipid metabolism"	"Hydrolase, Serine esterase"	"Evidence at protein level"	"Tissue enhanced"	6	"Nucleoplasm, Plasma membrane"
ABHD4	FLJ12816	ENSG00000100439	"Abhydrolase domain containing 4, N-acyl phospholipase B"	Q8TB40	"Enzymes, Predicted intracellular proteins"	"Lipid degradation, Lipid metabolism"	Hydrolase	"Evidence at protein level"	"Low tissue specificity"	9	Nucleoplasm
ABHD5	"CGI-58, NCIE2"	ENSG00000011198	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Q8WTS1	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Differentiation, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Phospholipid biosynthesis, Phospholipid metabolism"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	20	"Vesicles, Cytosol"
ABHD6		ENSG00000163686	"Abhydrolase domain containing 6, acylglycerol lipase"	Q9BV23	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	Hydrolase	"Evidence at protein level"	"Tissue enhanced"	6	Vesicles
ABHD8	"FLJ11743, MGC14280, MGC2512"	ENSG00000127220	"Abhydrolase domain containing 8"	Q96I13	"Predicted intracellular proteins"	"Inflammatory response"	Hydrolase	"Evidence at protein level"	"Tissue enhanced"	1	Nucleoplasm
ABI1	"ABI-1, E3B1, SSH3BP1"	ENSG00000136754	"Abl interactor 1"	Q8IZP0	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"	"Host-virus interaction"		"Evidence at protein level"	"Low tissue specificity"	63	"Plasma membrane, Cell Junctions"
ABI2	"ABI-2, ABI2B, AblBP3, AIP-1, argBPIA, SSH3BP2"	ENSG00000138443	"Abl interactor 2"	Q9NYB9	"Predicted intracellular proteins"	"Host-virus interaction, Neurogenesis"		"Evidence at protein level"	"Low tissue specificity"	167	Nucleoplasm
ABI3	"NESH, SSH3BP3"	ENSG00000108798	"ABI family member 3"	Q9P2A4	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	57	
ABI3BP	"DKFZP586L2024, NESHBP, TARSH"	ENSG00000154175	"ABI family member 3 binding protein"	Q7Z7G0	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Evidence at protein level"	"Low tissue specificity"		
ABITRAM	"C9orf6, CG-8, FAM206A, FLJ20457, Simiate"	ENSG00000119328	"Actin binding transcription modulator"	Q9NX38	"Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Evidence at protein level"	"Low tissue specificity"	9	"Nucleoplasm, Cytosol"
ABL1	"ABL, c-ABL, JTK7, p150"	ENSG00000097007	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	P00519	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins"	"Apoptosis, Autophagy, Cell adhesion, DNA damage, DNA repair, Endocytosis"	"DNA-binding, Kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"	"Low tissue specificity"	162	Nucleoplasm
ABL2	"ABLL, ARG"	ENSG00000143322	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	P42684	"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins"	"Cell adhesion"	"Kinase, Transferase, Tyrosine-protein kinase"	"Evidence at protein level"	"Low tissue specificity"	37	Cytosol
ABLIM1	"ABLIM, LIMAB1, limatin"	ENSG00000099204	"Actin binding LIM protein 1"	O14639	"Predicted intracellular proteins"		Actin-binding	"Evidence at protein level"	"Low tissue specificity"	35	Cytosol
ABLIM2	KIAA1808	ENSG00000163995	"Actin binding LIM protein family member 2"	Q6H8Q1	"Predicted intracellular proteins"			"Evidence at protein level"	"Group enriched"	1	Mitochondria
ABLIM3	KIAA0843	ENSG00000173210	"Actin binding LIM protein family member 3"	O94929	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	3	Nucleoplasm
ABO	"A3GALNT, A3GALT1"	ENSG00000175164	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"			"Evidence at transcript level"	"Tissue enhanced"		
ABR	MDB	ENSG00000159842	"ABR activator of RhoGEF and GTPase"	Q12979	"Predicted intracellular proteins"		"GTPase activation, Guanine-nucleotide releasing factor"	"Evidence at protein level"	"Tissue enhanced"	3	Cytosol
ABRA	STARS	ENSG00000174429	"Actin binding Rho activating protein"	Q8N0Z2	"Predicted intracellular proteins"	"Protein transport, Transcription, Transcription regulation, Translocation, Transport"	"Actin-binding, Activator"	"Evidence at protein level"	"Tissue enhanced"	4	
ABRACL	"C6orf115, Costars, HSPC280, PRO2013"	ENSG00000146386	"ABRA C-terminal like"	Q9P1F3	"Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"		Nucleoplasm
ABRAXAS1	"ABRA1, ABRAXAS, CCDC98, FAM175A, FLJ13614"	ENSG00000163322	"Abraxas 1, BRCA1 A complex subunit"	Q6UWZ7	"Disease related genes, Predicted intracellular proteins"	"DNA damage, DNA repair"	"Chromatin regulator"	"Evidence at protein level"	"Low tissue specificity"	17	"Nuclear bodies"
ABRAXAS2	"ABRO1, Em:AC068896.4, FAM175B, KIAA0157"	ENSG00000165660	"Abraxas 2, BRISC complex subunit"	Q15018	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway"		"Evidence at protein level"	"Low tissue specificity"	29	Cytosol
ABT1	Esf2	ENSG00000146109	"Activator of basal transcription 1"	Q9ULW3	"Essential proteins, Predicted intracellular proteins"	"Transcription, Transcription regulation"	"DNA-binding, RNA-binding"	"Evidence at protein level"	"Low tissue specificity"	197	Vesicles
ABTB1	"BPOZ, Btb3, BTBD21, EF1ABP"	ENSG00000114626	"Ankyrin repeat and BTB domain containing 1"	Q969K4	"Predicted intracellular proteins"	"Protein biosynthesis"	"Elongation factor"	"Evidence at protein level"	"Low tissue specificity"	17	Cytosol
ABTB2	"ABTB2A, BTBD22, DKFZP586C1619"	ENSG00000166016	"Ankyrin repeat and BTB domain containing 2"	Q8N961	"Metabolic proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	5	Nucleoplasm
ACAA1	Lnc-Myd88	ENSG00000060971	"Acetyl-CoA acyltransferase 1"	P09110	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Group enriched"	12	Peroxisomes
ACAA2	DSAEC	ENSG00000167315	"Acetyl-CoA acyltransferase 2"	P42765	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Acyltransferase, Hydrolase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	36	Mitochondria
ACACA	"ACAC, Acac1, ACACalpha, ACC, ACC-alpha, ACC1, ACCA, ACCalpha, hACC1"	ENSG00000278540	"Acetyl-CoA carboxylase alpha"	Q13085	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"	"Evidence at protein level"	"Low tissue specificity"	37	Cytosol
ACACB	"ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275"	ENSG00000076555	"Acetyl-CoA carboxylase beta"	O00763	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism"	"Allosteric enzyme, Ligase, Multifunctional enzyme"	"Evidence at protein level"	"Tissue enhanced"	6	
ACAD10	MGC5601	ENSG00000111271	"Acyl-CoA dehydrogenase family member 10"	Q6JQN1	"Predicted intracellular proteins"		Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	26	
ACAD11	FLJ12592	ENSG00000240303	"Acyl-CoA dehydrogenase family member 11"	Q709F0	"Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase	"Evidence at protein level"	"Group enriched"	34	
ACAD8		ENSG00000151498	"Acyl-CoA dehydrogenase family member 8"	Q9UKU7	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Branched-chain amino acid catabolism, Transcription, Transcription regulation"	"Activator, Oxidoreductase"	"Evidence at protein level"	"Low tissue specificity"	3	
