uniprot_id,gene,description
O96019,ACTL6A,Actin-like protein 6A
P00156,MT-CYB,Cytochrome b
P00491,PNP,Purine nucleoside phosphorylase
P00739,HPR,Haptoglobin-related protein
P00746,CFD,Complement factor D
P01112,HRAS,GTPase HRas
P01877,IGHA2,Immunoglobulin heavy constant alpha 2
P01903,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain"
P02538,KRT6A,"Keratin, type II cytoskeletal 6A"
P02746,C1QB,Complement C1q subcomponent subunit B
P02747,C1QC,Complement C1q subcomponent subunit C
P02775,PPBP,Platelet basic protein
P03952,KLKB1,Plasma kallikrein
P03973,SLPI,Antileukoproteinase
P04156,PRNP,Major prion protein
P04181,OAT,"Ornithine aminotransferase, mitochondrial"
P04216,THY1,Thy-1 membrane glycoprotein
P04271,S100B,Protein S100-B
P04433,IGKV3-11,Immunoglobulin kappa variable 3-11
P04921,GYPC,Glycophorin-C
P05156,CFI,Complement factor I
P06132,UROD,Uroporphyrinogen decarboxylase
P06312,IGKV4-1,Immunoglobulin kappa variable 4-1
P07910,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2
P07942,LAMB1,Laminin subunit beta-1
P08174,CD55,Complement decay-accelerating factor
P08397,HMBS,Porphobilinogen deaminase
P08473,MME,Neprilysin
P08729,KRT7,"Keratin, type II cytoskeletal 7"
P08962,CD63,CD63 antigen
P09455,RBP1,Retinol-binding protein 1
P09486,SPARC,SPARC
P09543,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase"
P09871,C1S,Complement C1s subcomponent
P0C0L4,C4A,Complement C4-A
P0C0S5,H2AZ1,Histone H2A.Z
P10155,RO60,60 kDa SS-A/Ro ribonucleoprotein
P10620,MGST1,Microsomal glutathione S-transferase 1
P10746,UROS,Uroporphyrinogen-III synthase
P11166,SLC2A1,"Solute carrier family 2, facilitated glucose transporter member 1"
P11362,FLG,Filaggrin
P11413,G6PD,Glucose-6-phosphate 1-dehydrogenase
P11717,IGF2R,Cation-independent mannose-6-phosphate receptor
P12270,TPR,Nucleoprotein TPR
P12273,PIP,Prolactin-inducible protein
P12829,MYL4,Myosin light chain 4
P13591,NCAM1,Neural cell adhesion molecule 1
P13646,KRT13,"Keratin, type I cytoskeletal 13"
P13942,COL11A2,Collagen alpha-2(XI) chain
P14678,SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B'
P15586,GNS,N-acetylglucosamine-6-sulfatase
P15924,DSP,Desmoplakin
P16070,CD44,CD44 antigen
P16455,MGMT,Methylated-DNA--protein-cysteine methyltransferase
P16949,STMN1,Stathmin
P17900,GM2A,Ganglioside GM2 activator
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1
P18754,RCC1,Regulator of chromosome condensation
P19013,KRT4,"Keratin, type II cytoskeletal 4"
P20774,OGN,Mimecan
P21926,CD9,CD9 antigen
P21953,BCKDHB,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
P22105,TNXB,Tenascin-X
P22528,SPRR1B,Cornifin-B
P22531,SPRR2E,Small proline-rich protein 2E
P22735,TGM1,Protein-glutamine gamma-glutamyltransferase K
P23141,CES1,Liver carboxylesterase 1
P23229,ITGA6,Integrin alpha-6
P24592,IGFBP6,Insulin-like growth factor-binding protein 6
P25189,MPZ,Myelin protein P0
P26599,PTBP1,Polypyrimidine tract-binding protein 1
P27482,CALML3,Calmodulin-like protein 3
P29034,S100A2,Protein S100-A2
P29373,CRABP2,Cellular retinoic acid-binding protein 2
P29400,COL4A5,Collagen alpha-5(IV) chain
P29475,NOS1,"Nitric oxide synthase, brain"
P30838,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring"
P31947,SFN,14-3-3 protein sigma
P32455,GBP1,Guanylate-binding protein 1
P32969,RPL9,60S ribosomal protein L9
P33316,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial"
P34913,EPHX2,Bifunctional epoxide hydrolase 2
P34931,HSPA1L,Heat shock 70 kDa protein 1-like
P35321,SPRR1A,Cornifin-A
P35326,SPRR2A,Small proline-rich protein 2A
P35580,MYH10,Myosin-10
P36551,CPOX,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"
P36954,POLR2I,DNA-directed RNA polymerase II subunit RPB9
P37235,HPCAL1,Hippocalcin-like protein 1
P40261,NNMT,Nicotinamide N-methyltransferase
P40616,ARL1,ADP-ribosylation factor-like protein 1
P40855,PEX19,Peroxisomal biogenesis factor 19
P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta
P42345,MTOR,Serine/threonine-protein kinase mTOR
P42574,CASP3,Caspase-3
P42575,CASP2,Caspase-2
P43121,MCAM,Cell surface glycoprotein MUC18
P43243,MATR3,Matrin-3
P45984,MAPK9,Mitogen-activated protein kinase 9
P46060,RANGAP1,Ran GTPase-activating protein 1
P46108,CRK,Adapter molecule crk
P46527,CDKN1B,Cyclin-dependent kinase inhibitor 1B
P46778,RPL21,60S ribosomal protein L21
P47929,LGALS7,Galectin-7
P48454,PPP3CC,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform
P48506,GCLC,Glutamate--cysteine ligase catalytic subunit
P48739,PITPNB,Phosphatidylinositol transfer protein beta isoform
P49137,MAPKAPK2,MAP kinase-activated protein kinase 2
P49247,RPIA,Ribose-5-phosphate isomerase
P49321,NASP,Nuclear autoantigenic sperm protein
P49327,FASN,Fatty acid synthase
P49441,INPP1,Inositol polyphosphate 1-phosphatase
P49458,SRP9,Signal recognition particle 9 kDa protein
P49747,COMP,Cartilage oligomeric matrix protein
P49902,NT5C2,Cytosolic purine 5'-nucleotidase
P49903,SEPHS1,"Selenide, water dikinase 1"
P49914,MTHFS,5-formyltetrahydrofolate cyclo-ligase
P50440,GATM,"Glycine amidinotransferase, mitochondrial"
P50897,PPT1,Palmitoyl-protein thioesterase 1
P51116,FXR2,Fragile X mental retardation syndrome-related protein 2
P51151,RAB9A,Ras-related protein Rab-9A
P51398,DAP3,"28S ribosomal protein S29, mitochondrial"
P51589,CYP2J2,Cytochrome P450 2J2
P51610,HCFC1,Host cell factor 1
P51808,DYNLT3,Dynein light chain Tctex-type 3
P51911,CNN1,Calponin-1
P52788,SMS,Spermine synthase
P52789,HK2,Hexokinase-2
P53582,METAP1,Methionine aminopeptidase 1
P53609,PGGT1B,Geranylgeranyl transferase type-1 subunit beta
P53618,COPB1,Coatomer subunit beta
P53804,TTC3,E3 ubiquitin-protein ligase TTC3
P54105,CLNS1A,Methylosome subunit pICln
P54868,HMGCS2,"Hydroxymethylglutaryl-CoA synthase, mitochondrial"
P54922,ADPRH,[Protein ADP-ribosylarginine] hydrolase
P55083,MFAP4,Microfibril-associated glycoprotein 4
P55327,TPD52,Tumor protein D52
P55789,GFER,FAD-linked sulfhydryl oxidase ALR
P56539,CAV3,Caveolin-3
P57088,TMEM33,Transmembrane protein 33
P58005,SESN3,Sestrin-3
P61225,RAP2B,Ras-related protein Rap-2b
P61353,RPL27,60S ribosomal protein L27
P61421,ATP6V0D1,V-type proton ATPase subunit d 1
P61626,LYZ,Lysozyme C
P62304,SNRPE,Small nuclear ribonucleoprotein E
P62308,SNRPG,Small nuclear ribonucleoprotein G
P62312,LSM6,U6 snRNA-associated Sm-like protein LSm6
P62314,SNRPD1,Small nuclear ribonucleoprotein Sm D1
P62714,PPP2CB,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
P63218,GNG5,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
P68032,ACTC1,"Actin, alpha cardiac muscle 1"
P69892,HBG2,Hemoglobin subunit gamma-2
P78318,IGBP1,Immunoglobulin-binding protein 1
P78524,DENND2B,DENN domain-containing protein 2B
P78560,CRADD,Death domain-containing protein CRADD
P80723,BASP1,Brain acid soluble protein 1
P82650,MRPS22,"28S ribosomal protein S22, mitochondrial"
P82930,MRPS34,"28S ribosomal protein S34, mitochondrial"
P84022,SMAD3,Mothers against decapentaplegic homolog 3
Q01814,ATP2B2,Plasma membrane calcium-transporting ATPase 2
Q02127,DHODH,"Dihydroorotate dehydrogenase (quinone), mitochondrial"
Q02318,CYP27A1,"Sterol 26-hydroxylase, mitochondrial"
Q02413,DSG1,Desmoglein-1
Q02818,NUCB1,Nucleobindin-1
Q03001,DST,Dystonin
Q03013,GSTM4,Glutathione S-transferase Mu 4
Q05397,PTK2,Focal adhesion kinase 1
Q05655,PRKCD,Protein kinase C delta type
Q06055,ATP5MC2,"ATP synthase F(0) complex subunit C2, mitochondrial"
Q06210,GFPT1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1
Q07157,TJP1,Tight junction protein ZO-1
Q07666,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1"
Q07699,SCN1B,Sodium channel subunit beta-1
Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1
Q08380,LGALS3BP,Galectin-3-binding protein
Q08495,DMTN,Dematin
Q09028,RBBP4,Histone-binding protein RBBP4
Q10588,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
Q12857,NFIA,Nuclear factor 1 A-type
Q12905,ILF2,Interleukin enhancer-binding factor 2
Q12907,LMAN2,Vesicular integral-membrane protein VIP36
Q12929,EPS8,Epidermal growth factor receptor kinase substrate 8
Q12983,BNIP3,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
Q13049,TRIM32,E3 ubiquitin-protein ligase TRIM32
Q13232,NME3,Nucleoside diphosphate kinase 3
Q13247,SRSF6,Serine/arginine-rich splicing factor 6
Q13315,ATM,Serine-protein kinase ATM
Q13405,MRPL49,"39S ribosomal protein L49, mitochondrial"
Q13522,PPP1R1A,Protein phosphatase 1 regulatory subunit 1A
Q13574,DGKZ,Diacylglycerol kinase zeta
Q13596,SNX1,Sorting nexin-1
Q13620,CUL4B,Cullin-4B
Q13835,PKP1,Plakophilin-1
Q14008,CKAP5,Cytoskeleton-associated protein 5
Q14011,CIRBP,Cold-inducible RNA-binding protein
Q14134,TRIM29,Tripartite motif-containing protein 29
Q14161,GIT2,ARF GTPase-activating protein GIT2
Q14191,WRN,Werner syndrome ATP-dependent helicase
Q14197,MRPL58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial"
Q14257,RCN2,Reticulocalbin-2
Q14671,PUM1,Pumilio homolog 1
Q14693,LPIN1,Phosphatidate phosphatase LPIN1
Q14699,RFTN1,Raftlin
Q14738,PPP2R5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform
Q147X3,NAA30,N-alpha-acetyltransferase 30
Q14894,CRYM,Ketimine reductase mu-crystallin
Q14C86,GAPVD1,GTPase-activating protein and VPS9 domain-containing protein 1
Q15020,SART3,Squamous cell carcinoma antigen recognized by T-cells 3
Q15063,POSTN,Periostin
Q15070,OXA1L,Mitochondrial inner membrane protein OXA1L
Q15113,PCOLCE,Procollagen C-endopeptidase enhancer 1
Q15223,NECTIN1,Nectin-1
Q15276,RABEP1,Rab GTPase-binding effector protein 1
Q15293,RCN1,Reticulocalbin-1
Q15327,ANKRD1,Ankyrin repeat domain-containing protein 1
Q15393,SF3B3,Splicing factor 3B subunit 3
Q15493,RGN,Regucalcin
Q15526,SURF1,Surfeit locus protein 1
Q15785,TOMM34,Mitochondrial import receptor subunit TOM34
Q15836,VAMP3,Vesicle-associated membrane protein 3
Q16363,LAMA4,Laminin subunit alpha-4
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5
Q16537,PPP2R5E,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform
Q16539,MAPK14,Mitogen-activated protein kinase 14
Q16540,MRPL23,"39S ribosomal protein L23, mitochondrial"
Q16610,ECM1,Extracellular matrix protein 1
Q16629,SRSF7,Serine/arginine-rich splicing factor 7
Q16643,DBN1,Drebrin
Q16853,AOC3,Membrane primary amine oxidase
Q16890,TPD52L1,Tumor protein D53
Q32MZ4,LRRFIP1,Leucine-rich repeat flightless-interacting protein 1
Q3SXM5,HSDL1,Inactive hydroxysteroid dehydrogenase-like protein 1
Q3ZCW2,LGALSL,Galectin-related protein
Q49B96,COX19,Cytochrome c oxidase assembly protein COX19
Q4G176,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial"
Q53RT3,ASPRV1,Retroviral-like aspartic protease 1
Q53S33,BOLA3,BolA-like protein 3
Q53TN4,CYBRD1,Cytochrome b reductase 1
Q5H9R7,PPP6R3,Serine/threonine-protein phosphatase 6 regulatory subunit 3
Q5JPH6,EARS2,"Probable glutamate--tRNA ligase, mitochondrial"
Q5QJ74,TBCEL,Tubulin-specific chaperone cofactor E-like protein
Q5RI15,COX20,"Cytochrome c oxidase assembly protein COX20, mitochondrial"
Q5SRE7,PHYHD1,Phytanoyl-CoA dioxygenase domain-containing protein 1
Q5T0D9,TPRG1L,Tumor protein p63-regulated gene 1-like protein
Q5T6F2,UBAP2,Ubiquitin-associated protein 2
Q5TA50,CPTP,Ceramide-1-phosphate transfer protein
Q5TC12,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1
Q5TCZ1,SH3PXD2A,SH3 and PX domain-containing protein 2A
Q5TFE4,NT5DC1,5'-nucleotidase domain-containing protein 1
Q5VWP3,MLIP,Muscular LMNA-interacting protein
Q66K74,MAP1S,Microtubule-associated protein 1S
Q68EM7,ARHGAP17,Rho GTPase-activating protein 17
Q69YU5,C12orf73,Uncharacterized protein C12orf73
Q6FI81,CIAPIN1,Anamorsin
Q6GMV2,SMYD5,SET and MYND domain-containing protein 5
Q6ICL3,TANGO2,Transport and Golgi organization protein 2 homolog
Q6NXT6,TAPT1,Transmembrane anterior posterior transformation protein 1 homolog
Q6P1X6,C8orf82,UPF0598 protein C8orf82
Q6PCE3,PGM2L1,"Glucose 1,6-bisphosphate synthase"
Q6PH85,DCUN1D2,DCN1-like protein 2
Q6PI48,DARS2,"Aspartate--tRNA ligase, mitochondrial"
Q6PI78,TMEM65,Transmembrane protein 65
Q6PIU2,NCEH1,Neutral cholesterol ester hydrolase 1
Q6PKG0,LARP1,La-related protein 1
Q6QNY1,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2
Q6UW78,UQCC3,Ubiquinol-cytochrome-c reductase complex assembly factor 3
Q6UWP8,SBSN,Suprabasin
Q6UX53,METTL7B,Methyltransferase-like protein 7B
Q6UXN9,WDR82,WD repeat-containing protein 82
Q6ZT12,UBR3,E3 ubiquitin-protein ligase UBR3
Q70IA6,MOB2,MOB kinase activator 2
Q71U36,TUBA1A,Tubulin alpha-1A chain
Q7L3B6,CDC37L1,Hsp90 co-chaperone Cdc37-like 1
Q7L523,RRAGA,Ras-related GTP-binding protein A
Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1
Q7Z3B4,NUP54,Nucleoporin p54
Q7Z460,CLASP1,CLIP-associating protein 1
Q7Z5Y7,KCTD20,BTB/POZ domain-containing protein KCTD20
Q7Z7G0,ABI3BP,Target of Nesh-SH3
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4
Q86TI2,DPP9,Dipeptidyl peptidase 9
Q86VU5,COMTD1,Catechol O-methyltransferase domain-containing protein 1
Q86WA6,BPHL,Valacyclovir hydrolase
Q86YM7,HOMER1,Homer protein homolog 1
Q8IUG5,MYO18B,Unconventional myosin-XVIIIb
Q8IUR7,ARMC8,Armadillo repeat-containing protein 8
Q8IV38,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2
Q8IVD9,NUDCD3,NudC domain-containing protein 3
Q8IXJ6,SIRT2,NAD-dependent protein deacetylase sirtuin-2
Q8IXM3,MRPL27,"39S ribosomal protein L27, mitochondrial"
Q8IYS2,KIAA2013,Uncharacterized protein KIAA2013
Q8N0U8,VKORC1L1,Vitamin K epoxide reductase complex subunit 1-like protein 1
Q8N0X4,CLYBL,"Citramalyl-CoA lyase, mitochondrial"
Q8N163,CCAR2,Cell cycle and apoptosis regulator protein 2
Q8N1F7,NUP93,Nuclear pore complex protein Nup93
Q8N283,ANKRD35,Ankyrin repeat domain-containing protein 35
Q8N465,D2HGDH,"D-2-hydroxyglutarate dehydrogenase, mitochondrial"
Q8N5X7,EIF4E3,Eukaryotic translation initiation factor 4E type 3
Q8N983,MRPL43,"39S ribosomal protein L43, mitochondrial"
Q8NAP3,ZBTB38,Zinc finger and BTB domain-containing protein 38
Q8NFU3,TSTD1,Thiosulfate:glutathione sulfurtransferase
Q8NHP8,PLBD2,Putative phospholipase B-like 2
Q8TAE6,PPP1R14C,Protein phosphatase 1 regulatory subunit 14C
Q8TBC4,UBA3,NEDD8-activating enzyme E1 catalytic subunit
Q8TBQ9,TMEM167A,Protein kish-A
Q8TCC3,MRPL30,"39S ribosomal protein L30, mitochondrial"
Q8TEB1,DCAF11,DDB1- and CUL4-associated factor 11
Q8WW01,TSEN15,tRNA-splicing endonuclease subunit Sen15
Q8WWC4,MAIP1,"m-AAA protease-interacting protein 1, mitochondrial"
Q8WWI1,LMO7,LIM domain only protein 7
Q8WYQ3,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial"
Q8WZ82,OVCA2,Esterase OVCA2
Q8WZA9,IRGQ,Immunity-related GTPase family Q protein
Q92466,DDB2,DNA damage-binding protein 2
Q92552,MRPS27,"28S ribosomal protein S27, mitochondrial"
Q92597,NDRG1,Protein NDRG1
Q92598,HSPH1,Heat shock protein 105 kDa
Q92623,TTC9,Tetratricopeptide repeat protein 9A
Q92817,EVPL,Envoplakin
Q92896,GLG1,Golgi apparatus protein 1
Q92900,UPF1,Regulator of nonsense transcripts 1
Q93009,USP7,Ubiquitin carboxyl-terminal hydrolase 7
Q969E2,SCAMP4,Secretory carrier-associated membrane protein 4
Q969G5,CAVIN3,Caveolae-associated protein 3
Q969M1,TOMM40L,Mitochondrial import receptor subunit TOM40B
Q969Q5,RAB24,Ras-related protein Rab-24
Q969V3,NCLN,Nicalin
Q96A35,MRPL24,"39S ribosomal protein L24, mitochondrial"
Q96A65,EXOC4,Exocyst complex component 4
Q96AD5,PNPLA2,Patatin-like phospholipase domain-containing protein 2
Q96B23,C18orf25,Uncharacterized protein C18orf25
Q96B54,ZNF428,Zinc finger protein 428
Q96BH1,RNF25,E3 ubiquitin-protein ligase RNF25
Q96DA0,ZG16B,Zymogen granule protein 16 homolog B
Q96DA6,DNAJC19,Mitochondrial import inner membrane translocase subunit TIM14
Q96EK7,FAM120B,Constitutive coactivator of peroxisome proliferator-activated receptor gamma
Q96EM0,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase
Q96FS4,SIPA1,Signal-induced proliferation-associated protein 1
Q96G03,PGM2,Phosphoglucomutase-2
Q96GC5,MRPL48,"39S ribosomal protein L48, mitochondrial"
Q96GX9,APIP,Methylthioribulose-1-phosphate dehydratase
Q96GZ6,SLC41A3,Solute carrier family 41 member 3
Q96HY7,DHTKD1,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"
Q96I59,NARS2,"Probable asparagine--tRNA ligase, mitochondrial"
Q96IJ6,GMPPA,Mannose-1-phosphate guanyltransferase alpha
Q96JY6,PDLIM2,PDZ and LIM domain protein 2
Q96K19,RNF170,E3 ubiquitin-protein ligase RNF170
Q96LJ7,DHRS1,Dehydrogenase/reductase SDR family member 1
Q96N66,MBOAT7,Lysophospholipid acyltransferase 7
Q96ND0,FAM210A,Protein FAM210A
Q96NY7,CLIC6,Chloride intracellular channel protein 6
Q96PC5,MIA2,Melanoma inhibitory activity protein 2
Q96RD7,PANX1,Pannexin-1
Q96SL4,GPX7,Glutathione peroxidase 7
Q99442,SEC62,Translocation protein SEC62
Q99459,CDC5L,Cell division cycle 5-like protein
Q99567,NUP88,Nuclear pore complex protein Nup88
Q99614,TTC1,Tetratricopeptide repeat protein 1
Q99615,DNAJC7,DnaJ homolog subfamily C member 7
Q99685,MGLL,Monoglyceride lipase
Q99707,MTR,Methionine synthase
Q99729,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B
Q99747,NAPG,Gamma-soluble NSF attachment protein
Q99943,AGPAT1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
Q99988,PDF,"Peptide deformylase, mitochondrial"
Q9BQ48,MRPL34,"39S ribosomal protein L34, mitochondrial"
Q9BQ67,GRWD1,Glutamate-rich WD repeat-containing protein 1
Q9BQC3,DPH2,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2
Q9BRP8,PYM1,Partner of Y14 and mago
Q9BRT2,UQCC2,Ubiquinol-cytochrome-c reductase complex assembly factor 2
Q9BTF0,THUMPD2,THUMP domain-containing protein 2
Q9BTW9,TBCD,Tubulin-specific chaperone D
Q9BU61,NDUFAF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
Q9BUH6,PAXX,Protein PAXX
Q9BUJ2,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1
Q9BUN8,DERL1,Derlin-1
Q9BUT1,BDH2,3-hydroxybutyrate dehydrogenase type 2
Q9BVG4,PBDC1,Protein PBDC1
Q9BVG9,PTDSS2,Phosphatidylserine synthase 2
Q9BVJ7,DUSP23,Dual specificity protein phosphatase 23
Q9BVL4,SELENOO,"Protein adenylyltransferase SelO, mitochondrial"
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic"
Q9BXN1,ASPN,Asporin
Q9BY89,KIAA1671,Uncharacterized protein KIAA1671
Q9BYC9,MRPL20,"39S ribosomal protein L20, mitochondrial"
Q9BYN8,MRPS26,"28S ribosomal protein S26, mitochondrial"
Q9BZF3,OSBPL6,Oxysterol-binding protein-related protein 6
Q9C0C2,TNKS1BP1,182 kDa tankyrase-1-binding protein
Q9C0E2,XPO4,Exportin-4
Q9GZM7,TINAGL1,Tubulointerstitial nephritis antigen-like
Q9GZN8,C20orf27,UPF0687 protein C20orf27
Q9GZT4,SRR,Serine racemase
Q9GZY8,MFF,Mitochondrial fission factor
Q9H0U3,MAGT1,Magnesium transporter protein 1
Q9H0U6,MRPL18,"39S ribosomal protein L18, mitochondrial"
Q9H0Z9,RBM38,RNA-binding protein 38
Q9H1C7,CYSTM1,Cysteine-rich and transmembrane domain-containing protein 1
Q9H1K1,ISCU,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial"
Q9H269,VPS16,Vacuolar protein sorting-associated protein 16 homolog
Q9H2J4,PDCL3,Phosducin-like protein 3
Q9H446,RWDD1,RWD domain-containing protein 1
Q9H488,POFUT1,GDP-fucose protein O-fucosyltransferase 1
Q9H5X1,CIAO2A,Cytosolic iron-sulfur assembly component 2A
Q9H7C4,SYNC,Syncoilin
Q9H9G7,AGO3,Protein argonaute-3
Q9H9J2,MRPL44,"39S ribosomal protein L44, mitochondrial"
Q9HAV7,GRPEL1,"GrpE protein homolog 1, mitochondrial"
Q9HC77,CENPJ,Centromere protein J
Q9HCN4,GPN1,GPN-loop GTPase 1
Q9HCY8,S100A14,Protein S100-A14
Q9HD42,CHMP1A,Charged multivesicular body protein 1a
Q9NP58,ABCB6,"ATP-binding cassette sub-family B member 6, mitochondrial"
Q9NPA0,EMC7,ER membrane protein complex subunit 7
Q9NPL8,TIMMDC1,"Complex I assembly factor TIMMDC1, mitochondrial"
Q9NPQ8,RIC8A,Synembryn-A
Q9NPY3,CD93,Complement component C1q receptor
Q9NQG5,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B
Q9NR45,NANS,Sialic acid synthase
Q9NRX2,MRPL17,"39S ribosomal protein L17, mitochondrial"
Q9NRY5,FAM114A2,Protein FAM114A2
Q9NSB8,HOMER2,Homer protein homolog 2
Q9NSC5,HOMER3,Homer protein homolog 3
Q9NTJ5,SACM1L,Phosphatidylinositide phosphatase SAC1
Q9NTX5,ECHDC1,Ethylmalonyl-CoA decarboxylase
Q9NTZ6,RBM12,RNA-binding protein 12
Q9NUL3,STAU2,Double-stranded RNA-binding protein Staufen homolog 2
Q9NV70,EXOC1,Exocyst complex component 1
Q9NVT9,ARMC1,Armadillo repeat-containing protein 1
Q9NVV0,TMEM38B,Trimeric intracellular cation channel type B
Q9NX55,HYPK,Huntingtin-interacting protein K
Q9NYK5,MRPL39,"39S ribosomal protein L39, mitochondrial"
Q9NZ32,ACTR10,Actin-related protein 10
Q9NZJ7,MTCH1,Mitochondrial carrier homolog 1
Q9NZT1,CALML5,Calmodulin-like protein 5
Q9P015,MRPL15,"39S ribosomal protein L15, mitochondrial"
Q9P0P8,MTRES1,Mitochondrial transcription rescue factor 1
